,0
x02,1112.1086162820916
x15,429.0141605108346
x01,384.1215609231704
x06,327.21922758988103
x12,311.06115068457706
x43,221.62774945080366
x46,166.3090857096173
x45,41.76211647481405
x14,27.243525248069375
x19,19.453788772233814
x44,15.3855109954818
x49,9.613723920306432
x48,6.884310229580618
x47,5.36752340238566
x11,3.2740849430208416
x28,2.029321490375263
x30,1.4845673783580524
x18,1.3677945965445197
x21,1.229376732318596
x22,1.0125102905833383
x24,0.7455812986755918
x32,0.6908933212141299
x17,0.41681228644487284
x26,0.4081505999774349
x29,0.39083744707069223
x07,0.36590720961482653
x40,0.32955611771260257
x05,0.3202128627208893
x04,0.30279129919565745
x39,0.30219337686812014
x10,0.26740944547426854
x23,0.21318000720051525
x33,0.14325531453047344
x42,0.09383795672451013
x27,0.08310673092029969
x13,0.06125005301658921
x20,0.03377919487202127
x41,0.028581416951969373
x03,0.02434769810705995
x00,0.019187053669127627
x25,0.018781628440985944
x34,0.01749094306020393
x16,0.017473734141616147
x31,0.015006837498018198
x09,0.010104130467427658
x35,0.008083923854391236
x08,0.004002722593961524
x37,0.0030376246151023805
x38,0.00034770036245682534
x36,0.00010228211618118775
