ari,nmi,silhouette,n_clusters,embedding,clustering
0.29485665531036,0.38779125220964855,0.8295914032986988,21,tsne,hdbscan
0.2947608730965588,0.4168672720719,0.7758152956941642,16,umap_fallback,hdbscan
0.23946566559527108,0.34697568396185713,0.7149077978984961,11,pacmap_fallback,hdbscan
0.0788307708739637,0.19735662968930212,0.6479499936103821,9,autoencoder,hdbscan
0.052089158744108015,0.2099732198784446,0.6951375140331458,11,pca,hdbscan
0.04398998855425722,0.18348289494699327,0.5453113336001687,9,trimap_fallback,hdbscan
-0.006324530599338614,0.0782714842448644,0.5956816233064727,7,dpca,hdbscan
-0.011644983045528558,0.04970185208012235,0.5730156319059337,2,mpca,hdbscan
0.2181956315183819,0.3790063355314432,0.6749789474581254,16,tsne,hierarchical
0.1324685542352916,0.3784678764932188,0.5038626690750782,16,pacmap_fallback,hierarchical
0.10612598018357279,0.3322454744119514,0.6207477585394163,16,umap_fallback,hierarchical
0.06672649199111072,0.34595356330472543,0.554388450852621,16,trimap_fallback,hierarchical
0.0419426290125003,0.23892193745988677,0.49181678891181946,16,autoencoder,hierarchical
0.03551600776300186,0.2672028322619842,0.35832483731381454,16,pca,hierarchical
0.03403810394830847,0.3332065898783869,0.5680245142746703,16,mpca,hierarchical
0.014795591867851962,0.2241281984927901,0.6178564854957879,16,dpca,hierarchical
0.136605992193938,0.5759357316522942,,16,raw_standardized_subset,hierarchical_no_dr
0.21742869403905482,0.3801131589635044,0.6809261945257,16,tsne,kmeans
0.11596520185075523,0.34125020439728554,0.6364080538089395,16,umap_fallback,kmeans
0.11158640027789841,0.3760309095784384,0.5033221187798531,16,pacmap_fallback,kmeans
0.06871508587436322,0.35164434308736403,0.5538579876580692,16,trimap_fallback,kmeans
0.04671606903638494,0.2419144212869098,0.4740442931652069,16,autoencoder,kmeans
0.046367907434418314,0.38282133270665647,0.5678026556858743,16,mpca,kmeans
0.03671950607781926,0.27283181511119736,0.3476938945585773,16,pca,kmeans
0.010816342982296017,0.18586137114895399,0.8247704806835514,16,dpca,kmeans
