model,accuracy,f1,roc_auc
Random Forest,0.9340136054421768,0.9658811115019346,0.8464608314999887
Gradient Boosting,0.9340136054421768,0.9658811115019346,0.8453420532958906
LSTM,0.9333333333333333,0.9655172413793104,0.8226152326337854
